book_id,title,subtitle,author,synopsis,domain,themes,average_rating,language,preview_link,thumbnail,search_category,difficulty_level,source
22316,Silver Surfer Omnibus Vol. 1 (Trade Paperback),Silver Surfer (1968 - 1969),,"Born by the hand of the world-devourer, Galactus, Norrin Radd sacrificed himself to save his home planet and his true love, Shalla-Bal, but the price of their lives was servitude to the mighty Galactus - as his herald, the Silver Surfer! Now, exiled upon Earth, he struggles to understand the beauty and humanity of mortal men, and nobly seeks to heal the rifts that separate man from his brothers.
Created by the titanic team of Stan Lee and Jack Kirby in the pages of FANTASTIC FOUR, the Silver Surfer went on to become one of the most-beloved characters in all comicdom. Embodying the mind-blowing concepts of Kirby and Stan's socially conscious writing craft, the Surfer's stories expressed their creative vision in staggering and unique tales. Another talent would touch the character, however, granting him a soul-wrenching humanity that helped define him to this very day: the one and only John Buscema! A master of the craft, Buscema's Silver Surfer is considered by many to be the peak of comic-book art.
Now, the original adventures of the Silver Surfer are presented in one complete volume! Containing every story and letters page, restored and recolored to match the original issues, plus behind-the-scenes bonuses and critical essays, this book is the guaranteed way to get in on the character in the upcoming Fantastic Four film!
Collecting SILVER SURFER #1-18.
576 PGS./All Ages ...$74.99",Comics,Silver Surfer (1968 - 1969)  ,,en,,,comics,medium,Marvel/DC Comics Dataset
438,All-New Official Handbook of the Marvel Universe a to Z: Update (2007) #1,All-New Official Handbook of the Marvel Universe a to Z: Update (2007),"Ronald Byrd, Stuart Vandal, Jeff Christiansen","What's the origin of M-11 the Human Robot? Who are the members of the Circus of Crime? What are the powers of Spider-Man 2099? Who are Digitek and Garko the Man-Frog? Who was Cage's first costumed foe? Find the answers to all these questions and many more here, as the Official Handbook continues to visit not just the Marvel Universe proper, but all related universes beyond! This one has something for everyone! New characters getting their first Handbook coverage? Freedom Ring, Death's Head 3.0, Nextwave and more - CHECK! Older characters not covered in 2000s Handbooks? Arcade, Circus of Crime, Graviton, Ikaris, Impossible Man, In-Betweener, Tiger Shark and more - CHECK! Older characters that never had a Handbook entry before? Bug-Eyed Voice, Human Robot, Thundersword and more - CHECK! Major characters getting massive expansions and updates to reflect their new status? Norman Osborn, Quasar, Storm and more - CHECK! Entries for major events, technology, pantheons and alien races - and for characters from different countries, deepest space, other realities, dimensions, and past and future eras - covering more of Marvel's universes than ever before? Contest of Champions, Digitek, Badoon, MC2's Fantastic Five, New Universe's Mark Hazzard, Japanese Gods, the M'kraan Crystal, Spider-Man 2099 and more - CHECK! These updates will ship quarterly in 2007!
64 PGS./NO ADS/Rated T+ ...$3.99",Comics,All-New Official Handbook of the Marvel Universe a to Z: Update (2007)  Comic  MARVEL UNIVERSE, RATED T+,en,,,comics,medium,Marvel/DC Comics Dataset
15516,MARVEL MONSTERS HC (Hardcover),Marvel Monsters (2005),,"Collects Monsters On The Prowl, Devil Dinosaur, Fin Fang Four, Where Monsters Dwell And Material From Tales To Astonish #1, Journey Into Mystery #62, Strange Tales #89 And Tales To Astonish #10 - And The Marvel Monsters: From The Files Of Ulysses Bloodstone (And The Monster Hunters) Handbook. Marvel's monsters unleashed in four timeless tales by today's hottest creators! In MONSTERS ON THE PROWL, it's the Hulk, the Thing, Giant-Man and the Beast vs. a tidal wave of classic creatures when the Collector inadvertently lets loose Droom, Grogg, Goom, Rombuu, Grattu and more on New York City! In DEVIL DINOSAUR, two young Celestials debate prehistoric Earth's superior life form. But when the ferocity of Devil Dinosaur proves no match for the opposition, a savage from the future is brought back for a battle you thought you'd never see: Hulk vs. Devil Dino! In FIN FANG FOUR, four giant monsters - incarcerated for years for their crimes against humanity - now find themselves shrunk to human size and working at the home of the very people who captured them: the Fantastic Four! Meet Googam, Son of Goom; Elektro; Gorgilla; and Fin Fang Foom! But when Goom's mad plan to rescue his father goes awry, the quartet must put aside their differences and become - the Fin Fang Four! And in WHERE MONSTERS DWELL, witness the terror of Monstrollo, the horror of Manoo and the fright of Bombu!",Comics,Marvel Monsters (2005)  ,,en,,,comics,medium,Marvel/DC Comics Dataset
5681,Criminal (2006) #6,Criminal (2006 - 2007),Ed Brubaker,"A New Storyline! A New Anti-Hero! And a Perfect Place for New Readers to Jump On!
That's right, if you've been missing out on Criminal up until now, this is your chance to see why the critics have hailed it as Brubaker and Phillips best work! Pick up the first trade collection, for the story of Leo, and then join us in issue #6 for a new beginning as we meet Tracy Lawless, the last surviving son of a once-famous family of crooks (who have been lurking in the background of Criminal since the first issue).
Twenty years ago, Tracy Lawless traded the crime-ridden streets of the city for a life in the military, and it's a decision he's rarely regretted. But now he's walking out of the deserts of Afghanistan and Iraq and back into the world he grew up in, to find out who killed his brother Rick, and why. But truth is one of the few things uglier than family history, and the only thing Tracy has in his favor as he unravels the twisted strands of the criminal life his brother led, is that no one knows who the hell he is. And what they don't know, just might kill them. Don't miss the hard-hitting debut of the next Criminal lead character, in ""Lawless"" Part 1! And remember, every issue of Criminal is crammed cover to cover with content, including text pieces, back-up stories and noir articles by Brubaker and many other crime writers!
32 PGS/Mature Content/No Ads ... $2.99",Comics,Criminal (2006 - 2007)  Comic  ICON, T,en,,,comics,medium,Marvel/DC Comics Dataset
30203,MARVEL MASTERWORKS: THE UNCANNY X-MEN VOL. 6 HC (Hardcover),Uncanny X-Men (1981 - 2011),,"The X-Men return for another milestone Marvel Masterworks of beginnings, endings and maybe even the beginning of the end! Chris Claremont and John Byrne raised a rag-tag group of mutants from a burning ember to an all-out firestorm that topped the world of comics. And they'll ride out that flame with one of the most influential X-Men stories of all-""Days of Future Past!""
Feared, hated and now on the road to extinction, Marvel's Children of the Atom face a bleak future of mutant concentration camps and a world where heroes are a thing of days gone past. Only by leaping back through time can Kitty Pryde's future self hope to stop the events that created this dystopian nightmare!
Claremont and Byrne close out their classic run together with a fan-favorite Kitty Pryde holiday tale, but things only pick up from there with the return of the man who first delineated the all-new, all-different X-Men-Dave Cockrum!
Cockrum and Claremont put their team in a slow-pressure cooker with Arcade, Dr. Doom, Garokk and then blows its top with the return of Magneto in a double-sized anniversary extravaganza! Featuring guest-appearances by Spider-Woman, Dazzler, not to mention the debut of Mystique's Brotherhood of Evil Mutants, there's no question this one's for the ages!
Collecting X-MEN #141 and UNCANNY X-MEN #142-150
Rated A...$54.99
ISBN: 978-0-7851-3014-7",Comics,Uncanny X-Men (1981 - 2011)  ,,en,,,comics,medium,Marvel/DC Comics Dataset
21693,Secret Invasion Extended Cut One-Shot (2008),Secret Invasion Extended Cut One-Shot (2008),,"The Skrulls have invaded and the conspiracy goes far deeper than anyone imagined. Secret Invasion Extended Cut is a Marvel Digital Comics Unlimited exclusive collecting key scenes in the Secret Invasion thus far. Such scenes include pages from Secret Invasion #1 and #2, Mighty Avengers #12, and New Avengers #40. This in-depth look helps get new readers in on the ground floor of comic's biggest event in years and provides a new look at how these tie-ins offer the full SECRET INVASION experience. The Avengers know that the shape-shifting aliens known as the Skrulls have invaded Earth. Infiltrating undetected has the heroes at each-others throats and questioning everyoneà¢â??s true motives. Only one man seems to know what is going on and that man is Nick Fury. After a long absence, the former director of S.H.I.E.L.D has returned with a vendetta and is attempting to put the puzzle together to eliminate the Skrull threat. Skrull agents are being revealed left and right as the Invasion moves forward and their motives are slowly becoming more clear. With everyone asking à¢â??Who do you trust?à¢â?? this special Digital Comic will catch you up with the shaky status of the Marvel Universe, as well as setting up stories in SECRET INVASION: FANTASTIC FOUR, MIGHTY AVENGERS, THUNDERBOLTS, NEW AVENGERS, SECRET INVASION: RUNAWAYS/YOUNG AVENGERS, and more!",Comics,Secret Invasion Extended Cut One-Shot (2008)  Comic  MARVEL UNIVERS,,en,,,comics,medium,Marvel/DC Comics Dataset
5235,Civil War: Marvel Universe (Trade Paperback),Civil War: The Initiative (2007),,"Civil War is encompassing the entire Marvel Universe, and the effects of the war are being felt by every hero, villain and civilian. In CIVIL WAR: CHOOSING SIDES, five stories shine a spotlight on the wildcards and impact players whose part in the Civil War has yet to be told - including Daredevil/Iron Fist, U.S. Agent, the Irredeemable Ant-Man, Venom and even...Howard the Duck!? In CIVIL WAR: THE RETURN, two of the universe's greatest heroes are confronted with pasts they can't leave behind in two heart-rendering tales. On Earth, the Sentry confronts his inner demons as the shadows of past and future battles tear him apart. Within the Negative Zone, the walls of 42 are pulled back to reveal the return of one of the Marveldom's greatest heroes. In SHE-HULK, Civil War threatens the rights of every American super hero. So whose side will Marvel's top superhuman lawyer fight for? And how can she possibly choose, when she feels one way as She-Hulk, and another as Jen Walters? And in CIVIL WAR: THE INITIATIVE, the post-war Marvel Universe begins here! The war is over! Let the healing begin! Debuting the all new IRON MAN, OMEGA FLIGHT, MIGHTY AVENGERS, NEW AVENGERS and THUNDERBOLTS!
Collecting CIVIL WAR: CHOOSING SIDES, CIVIL WAR: THE RETURN, SHE-HULK #8 and CIVIL WAR: THE INITIATIVE.
128 PGS./Rated A ...$11.99
ISBN: 0-7851-2470-5",Comics,Civil War: The Initiative (2007)  ,,en,,,comics,medium,Marvel/DC Comics Dataset
3433,Black Widow: The Things They Say About Her (2005) #1,Black Widow: The Things They Say About Her (2005 - 2006),,"""THE THINGS THEY SAY ABOUT HER""

You asked for it! Hot on the tail of Richard K. Morgan's searing comics debut comes the further dark exploits of Natasha Romanova, the original Black Widow.

Some say she's a traitor, some say she's a murderer...and what most say about her isn't even printable. But nobody denies that the former Cold War spy is a force to be reckoned with. The last man foolish enough to send killers after her paid the highest price, but his friends on Capitol Hill will ensure that Natasha doesn't get off easy...and not even Col. Nick Fury can protect her this time. On the run as the U.S. government declares her an Enemy of the State, Natasha escapes to Cuba, seeking out a former rival: Yelena Belova, the second Black Widow. Meanwhile, the survivors of Natasha's last tirade start coming back to haunt her...and they're starting to join forces. Also featuring a guest appearance by Daredevil!

Richard K. Morgan is the Phillip K. Dick Award-winning sci-fi author of Altered Carbon, Broken Angels, and Market Forces. Returning to BLACK WIDOW is comics legend Bill Sienkiewicz (ELEKTRA: ASSASSIN), joined by Eisner Award-nominated artist Sean Phillips (Sleeper).
Read the red-hot sequel to the limited series praised by Entertainment Weekly, Ain't It Cool News, SFX Magazine and more!

32 PGS./PARENTAL ADVISORY ...$2.99",Comics,Black Widow: The Things They Say About Her (2005 - 2006)  Comic  MARVEL KNIGHTS, PARENTAL ADVISORY,en,,,comics,medium,Marvel/DC Comics Dataset
8528,Eternals by Neil Gaiman (Trade Paperback),Eternals (2006 - 2007),,"""An intriguing plot and amazing visuals...one of the most entertaining and exciting Marvel titles I've had the pleasure to read in a long while."" - Kelvin Green, SilverBulletComicBooks.com More than thirty-five years ago, comics legend Jack ""The King"" Kirby returned to the House of Ideas with perhaps his biggest idea of all: the universe of the Eternals! Their creation was the result of Kirby's ceaseless curiosity about the origin of man and his mythologies - but like many of the King's concepts, it was definitely ahead of its time. Flash forward to 2006: Superstar creators Neil Gaiman and John Romita Jr. have boldly taken on these concepts with a loving hand, in the process telling a fresh and crackling fun yarn full of mystery, suspense and majestic power - all with an eye on helping establish Kirby's creations as a vital part of the Marvel Universe once and for all. Against the backdrop of Marvel's CIVIL WAR, the Eternals are being awoken one by one from a strange, waking dream, at once coming to terms with the fact that they are far more than the normal people they have thought themselves to be. They find there is little time to commiserate about such things, however, as they are thrust into a life and death struggle that spans both time and space! Collecting ETERNALS #1-7. Rated T ...$24.99 ISBN: 978-0-781-2177-0",Comics,Eternals (2006 - 2007)  ,,en,,,comics,medium,Marvel/DC Comics Dataset
25130,Marvel Masterworks: Doctor Strange Vol. (Hardcover),Strange Tales (1951 - 1968),,"Time to toss out that rabbit's foot at last, True Believer! After thirteen years around the cauldron your luck has paid off-we're conjuring up a sensational second Doctor Strange Masterworks!
Featuring the mind-blowing ocular occult of Steve Ditko teamed with Stan ""The Man"" Lee, you'll want to make sure you nail down your ouija board before breaking this sacred tome open. They're aided and abetted by Roy Thomas, Dennis O'Neil, Bill Everett, Marie Severin and Dan Adkins. With a roll call like that this one's anything but cursed!
We've got the climactic battle with the dread Dormammu and the cataclysmic intervention of Eternity; in his first-ever appearance the Living Tribunal lays his judgment upon the Earth, and if that's not enough reality-threatening thrills for you, we pit him head-to-head with Nebulous, Lord of the Planets Perilous. It's guaranteed to rattle your astral fillings!
The origin of the Ancient One, the return of Baron Mordo, Strange's struggle against Kaluu while Clea's life hangs in the balance, and an otherworldly odyssey into deadly dimensions to save the lovely Victoria Bentley are the final incantations in this spell unlike any other ever uttered!
Collecting Strange Tales #142-168 and a gallery of Doctor Strange's cover appearances across the entire Strange Tales run!
304 PGS./All Ages ...$49.99",Comics,Strange Tales (1951 - 1968)  ,,en,,,comics,medium,Marvel/DC Comics Dataset
